"Any","Mes","Desc_Mes","Temperatura"
1780,01,"Gener","6.7"
1780,02,"Febrer","7.3"
1780,03,"Març","11.6"
1780,04,"Abril","11.4"
1780,05,"Maig","16.3"
1780,06,"Juny","19.1"
1780,07,"Juliol","21.4"
1780,08,"Agost","22.0"
1780,09,"Setembre","20.3"
1780,10,"Octubre","16.3"
1780,11,"Novembre","9.2"
1780,12,"Desembre","7.3"
1781,01,"Gener","7.5"
1781,02,"Febrer","8.9"
1781,03,"Març","10.9"
1781,04,"Abril","13.7"
1781,05,"Maig","16.8"
1781,06,"Juny","18.0"
1781,07,"Juliol","22.0"
1781,08,"Agost","22.6"
1781,09,"Setembre","19.1"
1781,10,"Octubre","15.0"
1781,11,"Novembre","11.8"
1781,12,"Desembre","10.3"
1782,01,"Gener","8.2"
1782,02,"Febrer","6.1"
1782,03,"Març","9.8"
1782,04,"Abril","10.5"
1782,05,"Maig","15.4"
1782,06,"Juny","20.1"
1782,07,"Juliol","22.3"
1782,08,"Agost","22.6"
1782,09,"Setembre","19.9"
1782,10,"Octubre","13.8"
1782,11,"Novembre","7.4"
1782,12,"Desembre","7.5"
1783,01,"Gener","8.3"
1783,02,"Febrer","8.6"
1783,03,"Març","9.6"
1783,04,"Abril","12.4"
1783,05,"Maig","15.0"
1783,06,"Juny","19.1"
1783,07,"Juliol","22.9"
1783,08,"Agost","21.4"
1783,09,"Setembre","18.6"
1783,10,"Octubre","15.5"
1783,11,"Novembre","11.0"
1783,12,"Desembre","10.4"
1784,01,"Gener","7.3"
1784,02,"Febrer","7.1"
1784,03,"Març","10.8"
1784,04,"Abril","10.7"
1784,05,"Maig","16.7"
1784,06,"Juny","20.7"
1784,07,"Juliol","22.0"
1784,08,"Agost","20.5"
1784,09,"Setembre","20.0"
1784,10,"Octubre","13.8"
1784,11,"Novembre","8.5"
1784,12,"Desembre","5.3"
1785,01,"Gener","9.0"
1785,02,"Febrer","6.4"
1785,03,"Març","7.9"
1785,04,"Abril","11.0"
1785,05,"Maig","16.0"
1785,06,"Juny","20.3"
1785,07,"Juliol","21.0"
1785,08,"Agost","21.7"
1785,09,"Setembre","21.6"
1785,10,"Octubre","16.8"
1785,11,"Novembre","10.3"
1785,12,"Desembre","7.9"
1786,01,"Gener","7.8"
1786,02,"Febrer","8.3"
1786,03,"Març","9.9"
1786,04,"Abril","12.8"
1786,05,"Maig","16.8"
1786,06,"Juny","20.2"
1786,07,"Juliol","20.9"
1786,08,"Agost","21.1"
1786,09,"Setembre","19.5"
1786,10,"Octubre","15.5"
1786,11,"Novembre","9.2"
1786,12,"Desembre","8.3"
1787,01,"Gener","5.4"
1787,02,"Febrer","7.8"
